time (s),motor position (nm),sensor position (nm)
6.877639608,36505768,4498
6.882660312,36663262,4536
6.887542099,36754276,3819
6.892699423,36817999,3687
6.897546267,36872321,4381
6.902692686,36924550,3367
6.90755094,36975676,4041
6.912488396,37025043,3663
6.917676606,37076408,4843
6.922494962,37127246,4384
6.927515898,37178662,4815
6.932484784,37228836,4044
6.937710696,37278943,4429
6.942564892,37329411,3677
6.947742722,37379794,4154
6.952481257,37428700,3958
6.957596137,37479526,4448
6.9626726439999995,37529443,3454
6.967514527,37579973,3993
6.972492138,37629543,2542
6.977542818,37680198,3573
6.982461647,37729690,4110
6.987746685,37781290,3976
6.9926842449999995,37830250,3911
6.997493188,37879651,4348
7.002417083,37928967,3656
7.007649753,37979575,3617
7.012668234,38029338,4863
7.017650946,38080415,4108
7.022677739,38130160,4381
7.027476717,38179593,4308
7.032681736,38229981,5027
7.037480091,38278962,4511
7.042580116,38329201,3840
7.047460621,38378710,4843
7.052383142,38425804,4605
7.057624856,38454590,4383
7.062619873,38289943,2451
7.067444174,38447209,4764
7.07238817,38580142,2817
7.077666537,38660902,4364
7.082520491,38720062,3768
7.087414495,38773023,4239
7.092462721,38823966,3509
7.097572836,38874973,4416
7.10260613,38925585,4362
7.107523861,38976981,4001
7.112439472,39028038,3676
7.117692099,39079171,5107
7.122314848,39127783,4292
7.127359794,39178469,4405
7.132580789,39229235,5044
7.137536428,39280724,4802
7.14254683,39330388,4759
7.147483058,39380624,4234
7.152629169,39430752,4861
7.157464774,39479620,5034
7.162590845,39531815,4064
7.16741065,39580238,4549
7.172566641,39630456,4461
7.17766656,39679829,4177
7.182502449,39730149,4201
7.187507712,39780657,5574
7.192579816,39830379,3257
7.197388473,39880051,5929
7.202433302,39930159,3365
7.207709727,39981004,5139
7.212525419,40029730,3538
7.2174172819999995,40080305,5117
7.222361877,40129564,3988
7.227622153,40179364,3647
7.232586218,40229338,4212
7.237527679,40278772,4969
7.242485233,40327089,3636
7.247566554,40353802,5376
7.252448673,40187906,4448
7.257671269,40350466,6057
7.262483549,40482825,3943
7.26752898,40562283,2775
7.272473217,40620430,6283
7.277674092,40673800,3687
7.282548729,40725560,3895
7.287479831,40775806,3318
7.292491546,40826438,4109
7.297693066,40877081,4109
7.302441323,40928530,3337
7.307398671,40977876,2810
7.312842414,41029159,3637
7.317670982,41079124,3943
7.322354424,41128778,3954
7.32750805,41179726,3684
7.33266365,41229447,4649
7.337434807,41279748,4816
7.342681734,41329440,4657
7.347771151,41381339,4964
7.3526111610000005,41430797,3752
7.35760882,41480002,4577
