time (s),force (N)
7.346935484,-1.55647277832
7.351978882,-1.57417297363
7.356895768,-1.55647277832
7.361906179,-1.55723571777
7.367000369,-1.55609130859
7.371934615,-1.55784606934
7.376988921,-1.54586791992
7.381888937,-1.55746459961
7.386991012,-1.55563354492
7.392002415,-1.57325744629
7.3969417140000004,-1.55715942383
7.401892989,-1.55662536621
7.406934973,-1.55700683594
7.411948589,-1.55838012695
7.416860833,-1.60224914551
7.421945256,-1.55609130859
7.426890496,-1.55799865723
7.432072067,-1.55784606934
7.43691042,-1.55723571777
7.441872795,-1.56188964844
7.447024054,-1.55693054199
7.452137486,-1.55647277832
7.456912739,-1.55738830566
7.461981144,-1.55578613281
7.466950631,-1.55685424805
7.471915362,-1.55784606934
7.476940158,-1.55456542969
7.481968903,-1.50611877441
7.487024634,-1.55799865723
7.492445424,-1.55342102051
7.496951634,-1.55548095703
7.501933718,-1.55822753906
7.506884008,-1.50680541992
7.512173516,-1.55578613281
7.516943547,-1.55708312988
7.521991906,-1.5567779541
7.526973658,-1.55609130859
7.532030101,-1.56303405762
7.5369769269999995,-1.55632019043
7.541948915,-1.55662536621
7.546893377,-1.55601501465
7.55219351,-1.5567779541
7.556938716,-1.56211853027
7.561953802,-1.55700683594
7.567048942,-1.55662536621
7.5718928309999995,-1.53121948242
7.577025839,-1.55601501465
7.581973803,-1.55960083008
7.587078354,-1.55654907227
7.591946076,-1.55731201172
7.596925774,-1.61796569824
7.601865228,-1.55670166016
7.606874051,-1.55723571777
7.611971871,-1.55647277832
7.616938308,-1.55662536621
7.621989627,-1.57341003418
7.627007724,-1.55654907227
7.63205225,-1.55738830566
7.636998166,-1.50947570801
7.641914277,-1.55693054199
7.646876442,-1.55853271484
7.651953991,-1.55708312988
7.657008233,-1.55654907227
7.662073723,-1.59713745117
7.6668958069999995,-1.55807495117
7.672206593,-1.55639648438
7.6769759440000005,-1.55502319336
7.681958734,-1.55517578125
7.687064808,-1.56341552734
7.691955088,-1.55792236328
7.696935192,-1.55685424805
7.701911249,-1.60194396973
7.706882731,-1.55693054199
7.712779477,-1.55769348145
7.716955475,-1.55769348145
7.721958054,-1.55616760254
7.727037219,-1.51573181152
7.73243136,-1.5567779541
7.737044871,-1.55746459961
7.741930294,-1.55540466309
7.746880661,-1.55685424805
7.752089157,-1.5550994873
7.7569104079999995,-1.55754089355
7.761941913,-1.55647277832
7.766903776,-1.53656005859
7.772100261,-1.55731201172
7.776913961,-1.55616760254
7.781895507,-1.55647277832
7.786913502,-1.55464172363
7.791927847,-1.53839111328
7.796860873,-1.55723571777
7.8019326,-1.55410766602
7.80699036,-1.55639648438
7.811989811,-1.55685424805
7.816953164,-1.54258728027
7.821878918,-1.55700683594
7.827017247,-1.55792236328
7.832454856,-1.56585693359
7.83699482,-1.55746459961
7.841951623,-1.55570983887
7.846891088,-1.55830383301
7.851955066,-1.55723571777
7.856922327,-1.6130065918
7.861861299,-1.55792236328
7.866891188,-1.55708312988
7.871922612,-1.55769348145
7.877077906,-1.55540466309
7.882000064,-1.55120849609
